Nextstrain_clade,date
20I/501Y.V1,2021-01-16
20B,2020-06-16
20I/501Y.V1,2021-01-13
20I/501Y.V1,2021-01-28
20H/501Y.V2,2021-01-22
20B,2020-03-12
20A,2020-09-18
20H/501Y.V2,2021-02-22
20B,2020-06-04
20B,2020-06-08
20A,2021-02-27
20I/501Y.V1,2021-03-02
20I/501Y.V1,2021-03-02
20B,2020-08-24
20I/501Y.V1,2020-12-21
20B,2020-11-28
20I/501Y.V1,2021-01-14
20A,2020-08-26
20G,2021-02-01
20A,2020-12-27
20A,2020-09-09
20A,2020-07-04
20E (EU1),2020-11-12
20A,2021-02-23
20B,2021-01-03
20A,2021-01-10
20A,2021-02-23
20B,2021-01-03
20B,2020-08-17
20A,2020-12-14
20B,2020-03-30
20I/501Y.V1,2021-03-02
20C,2021-02-01
20B,2020-07-16
20B,2021-01-02
20B,2020-11-03
20E (EU1),2021-01-26
20E (EU1),2020-11-11
20B,2020-08-17
20A,2020-12-29
20A,2020-12-27
20A,2020-08-04
20E (EU1),2020-12-26
20B,2020-05-18
20A,2021-01-18
20A,2020-07-04
20A.EU2,2020-11-26
20B,2020-12-30
20A,2020-12-19
20I/501Y.V1,2021-03-03
20A,2020-12-17
20A,2021-02-02
20A,2020-06-17
20B,2021-01-06
20A,2021-01-20
20A,2020-12-14
20A,2020-03-23
20B,2021-01-03
20A.EU2,2020-11-16
20A,2020-12-24
20B,2020-12-24
20A,2021-03-02
20A,2021-03-03
20A,2021-03-02
20A,2021-03-02
20C,2020-05-18
20I/501Y.V1,2021-03-01
20E (EU1),2020-11-21
20A,2020-03-16
20B,2020-11-15
20E (EU1),2020-10-20
20B,2020-11-26
20B,2020-12-21
20I/501Y.V1,2021-01-22
20A,2020-11-25
20A,2021-02-14
20E (EU1),2021-01-05
20B,2020-05-04
20B,2021-01-27
20A,2020-11-12
20A,2020-11-18
20B,2020-12-25
20A,2021-02-15
20I/501Y.V1,2021-02-03
20B,2020-12-21
20B,2020-10-16
20A,2020-12-21
20A,2021-02-07
20I/501Y.V1,2021-01-29
20B,2021-01-07
20I/501Y.V1,2021-03-02
20B,2020-12-17
20B,2020-10-22
20I/501Y.V1,2021-03-02
20I/501Y.V1,2021-02-27
20A,2021-01-11
20E (EU1),2020-12-18
20E (EU1),2020-12-24
20A,2020-12-14
20A,2020-12-15
20A.EU2,2020-12-14
20E (EU1),2021-01-15
20B,2020-09-02
20A,2020-12-15
20A,2020-12-15
20E (EU1),2020-11-12
20A,2020-12-15
20A,2020-12-15
20E (EU1),2020-11-23
20A,2021-02-26
20E (EU1),2020-12-26
20A,2020-03-21
20I/501Y.V1,2021-01-18
20E (EU1),2020-11-13
20B,2021-01-29
20C,2020-05-18
20A,2020-02-29
20A,2020-12-24
20A.EU2,2020-09-29
20B,2020-09-24
20A,2020-12-10
20A,2020-12-19
20A.EU2,2020-12-26
20A,2020-11-14
20A,2020-12-08
20B,2020-06-22
20A,2020-09-14
20A,2020-12-19
20I/501Y.V1,2021-03-01
20B,2020-07-05
20A,2020-12-14
20D,2020-09-21
20E (EU1),2021-01-13
20E (EU1),2021-01-14
20A,2020-12-19
20I/501Y.V1,2021-03-01
20A.EU2,2020-11-06
20A,2020-12-25
20A,2021-01-03
20A,2021-01-04
20I/501Y.V1,2021-03-03
20E (EU1),2020-11-11
20A,2020-04-01
20A,2020-10-20
19A,2020-01-29
20B,2020-07-27
20A,2020-06-27
20A,2020-07-27
20I/501Y.V1,2021-02-24
20B,2020-07-09
20B,2020-06-06
20B,2020-06-06
20A,2020-11-18
20A,2020-11-19
20E (EU1),2021-03-02
20E (EU1),2020-11-15
20E (EU1),2020-12-23
20A,2020-11-19
20A,2020-11-19
19B,2020-04-16
20A.EU2,2021-01-21
20I/501Y.V1,2021-01-22
20A.EU2,2020-11-20
20I/501Y.V1,2021-01-23
20I/501Y.V1,2021-02-16
20I/501Y.V1,2021-01-25
20A.EU2,2021-01-26
20B,2020-07-28
20A.EU2,2020-11-23
20A,2020-05-10
20A,2020-05-10
20E (EU1),2020-11-25
20A,2020-03-09
20I/501Y.V1,2021-01-27
20E (EU1),2021-01-28
20A.EU2,2020-10-28
20C,2020-11-17
20A.EU2,2020-11-17
20A,2020-09-19
20A,2020-11-21
20A,2020-12-07
20A.EU2,2021-02-01
20A.EU2,2020-11-16
20A,2020-04-13
20B,2020-08-17
19A,2020-02-28
20A.EU2,2021-02-02
20A.EU2,2020-09-15
20A,2020-03-30
20I/501Y.V1,2021-02-17
20E (EU1),2020-11-12
20B,2020-11-20
20H/501Y.V2,2021-03-02
20A,2020-12-17
20A,2020-06-06
19B,2021-01-01
19B,2021-01-01
19B,2021-01-01
20I/501Y.V1,2021-01-05
20A.EU2,2020-11-23
20A.EU2,2021-01-10
20B,2020-10-29
20B,2020-06-25
20E (EU1),2020-10-31
20B,2020-11-03
20A,2020-02-27
20I/501Y.V1,2021-01-15
20A,2021-02-16
20E (EU1),2020-11-05
20B,2020-09-23
20A,2021-02-16
19B,2020-12-30
20A,2020-03-22
20H/501Y.V2,2021-01-22
20B,2020-12-09
20A,2020-11-18
20I/501Y.V1,2021-03-02
20A,2021-02-16
20E (EU1),2020-12-08
19B,2020-12-28
20F,2020-08-04
20B,2020-06-03
19B,2020-12-28
20C,2020-02-28
20I/501Y.V1,2021-02-08
20I/501Y.V1,2021-02-04
20B,2020-05-18
20G,2020-12-07
20I/501Y.V1,2021-01-27
20A,2020-04-07
20A,2021-01-10
19A,2020-02-28
20A,2020-11-19
20A,2020-04-02
20A,2021-01-31
19B,2020-12-27
20A,2020-02-28
20A,2020-04-02
19B,2020-12-27
20I/501Y.V1,2021-01-25
20B,2020-08-13
20A,2020-11-02
19B,2020-12-27
20I/501Y.V1,2021-02-10
20I/501Y.V1,2021-01-21
20I/501Y.V1,2021-02-12
20I/501Y.V1,2021-02-12
20C,2020-04-22
20E (EU1),2021-01-05
20B,2020-09-14
20A,2020-12-29
20C,2020-05-21
20A,2021-02-06
20B,2021-02-05
20A,2020-12-22
20B,2021-02-15
20A,2020-11-16
20I/501Y.V1,2021-01-18
20I/501Y.V1,2021-01-04
20A,2021-01-31
20A,2021-02-20
20A,2021-01-31
20A,2021-01-26
20A,2021-01-26
20E (EU1),2020-11-19
20A,2020-12-15
20B,2021-01-20
20A,2021-02-23
20A,2021-01-19
20A,2021-01-19
20A,2021-01-20
20E (EU1),2020-11-27
20B,2020-10-29
20C,2020-09-01
20A,2021-03-07
20A,2021-03-04
20E (EU1),2020-12-07
20A,2021-03-04
20A,2021-01-01
20A,2021-03-06
20B,2020-12-20
20A,2020-11-19
20A.EU2,2020-11-23
20B,2020-05-08
20A,2020-12-28
20A,2021-02-13
20A,2020-04-09
20B,2021-02-02
20A,2021-02-12
20A,2020-04-30
20E (EU1),2020-12-08
20E (EU1),2020-12-07
20E (EU1),2020-12-06
20A,2020-03-09
20B,2020-12-10
20B,2020-12-18
20B,2020-08-12
20E (EU1),2020-09-30
20E (EU1),2020-11-09
20B,2020-07-31
20C,2021-01-25
19B,2021-01-02
20A,2021-01-15
20I/501Y.V1,2021-01-21
20E (EU1),2020-09-28
20A,2021-01-15
20A,2021-02-15
20A,2021-03-01
20A,2021-02-20
20E (EU1),2020-11-25
20B,2020-10-02
20I/501Y.V1,2021-02-20
20B,2020-05-11
20B,2020-05-13
20B,2021-02-20
20E (EU1),2020-11-23
20B,2020-05-03
20A,2020-04-25
20E (EU1),2020-10-22
20E (EU1),2020-11-17
20A,2021-01-07
20B,2020-10-23
20A,2020-12-18
20B,2021-02-01
20A.EU2,2021-01-10
20A.EU2,2021-01-03
20B,2020-07-02
20A,2020-11-13
20A,2020-07-29
20B,2021-01-02
20A,2021-01-02
20A,2020-11-20
20B,2020-04-17
20B,2020-08-24
20B,2020-11-14
20B,2020-10-10
20B,2021-01-04
20I/501Y.V1,2021-01-27
20H/501Y.V2,2021-03-01
20C,2021-02-02
20B,2020-10-10
20B,2020-10-10
20A,2020-11-14
20B,2020-10-08
20E (EU1),2020-11-13
20I/501Y.V1,2021-02-25
20A.EU2,2020-10-21
20I/501Y.V1,2021-03-02
20B,2020-06-12
20B,2020-07-03
20D,2020-10-26
20I/501Y.V1,2021-02-14
20I/501Y.V1,2021-02-22
20I/501Y.V1,2021-02-16
20A,2020-03-31
20E (EU1),2020-11-20
20I/501Y.V1,2021-02-22
20B,2020-10-05
20A,2020-04-13
20A,2020-03-31
20I/501Y.V1,2021-02-19
20A,2021-02-12
20A,2021-02-15
20E (EU1),2020-09-14
20A,2021-03-01
20C,2021-02-02
20E (EU1),2020-11-20
20B,2020-07-07
20B,2020-08-03
20C,2020-08-13
20B,2020-07-03
20I/501Y.V1,2021-02-17
20I/501Y.V1,2021-02-22
20A,2020-04-10
20A.EU2,2020-11-09
20A,2020-04-01
20A,2021-03-01
20A,2021-03-01
20A,2021-03-01
20A.EU2,2021-01-17
20A,2021-02-06
20B,2020-03-17
20A,2021-03-01
20A,2021-03-01
20A,2021-03-01
20A,2020-03-11
20E (EU1),2020-11-25
20D,2020-10-26
20A,2020-12-17
19A,2020-02-08
20B,2020-12-21
20E (EU1),2020-09-12
20B,2020-11-13
20I/501Y.V1,2021-03-05
20A,2020-12-03
20A,2020-11-27
20I/501Y.V1,2021-01-12
20E (EU1),2020-11-06
20A,2020-04-01
20A,2020-11-20
20A,2021-03-05
20E (EU1),2020-11-25
20I/501Y.V1,2021-03-05
20B,2020-11-21
20E (EU1),2020-11-27
20I/501Y.V1,2021-03-01
20B,2021-02-26
20E (EU1),2020-10-26
20B,2020-11-24
20A,2020-12-21
20A,2020-11-13
20I/501Y.V1,2021-03-01
20E (EU1),2020-12-15
20D,2020-11-20
20A,2020-11-14
20A,2020-12-26
20A,2020-05-20
20E (EU1),2020-11-20
20A,2021-03-03
20E (EU1),2020-12-17
20B,2021-02-12
20E (EU1),2020-11-26
20A,2020-07-06
20E (EU1),2020-11-19
20A.EU2,2021-01-11
20E (EU1),2020-08-30
20A.EU2,2021-01-11
20A,2021-01-19
20A.EU2,2020-09-29
20I/501Y.V1,2021-03-01
20A,2020-06-05
20D,2020-11-18
20I/501Y.V1,2021-03-01
20B,2020-08-26
20B,2020-09-09
20B,2020-08-18
20A,2021-01-30
20A,2020-03-22
20E (EU1),2020-12-03
20B,2021-02-01
20C,2020-12-16
20I/501Y.V1,2021-03-03
20C,2020-03-16
20B,2021-01-06
20A,2020-04-02
20I/501Y.V1,2021-01-26
20B,2020-11-22
20I/501Y.V1,2021-03-01
20A,2021-02-07
20B,2020-11-20
20B,2020-11-22
20B,2021-02-02
20B,2020-11-20
20A,2021-02-24
20H/501Y.V2,2021-02-21
20B,2020-06-12
20A.EU2,2020-09-14
20A,2020-03-25
20B,2021-01-27
20A,2020-09-05
20B,2021-02-10
20B,2021-01-19
20B,2020-07-31
20A,2021-02-17
20A,2020-03-30
20I/501Y.V1,2021-03-01
20A,2020-03-25
20I/501Y.V1,2021-03-01
20A,2020-05-18
20B,2020-05-27
20E (EU1),2021-03-01
20A,2020-05-09
20I/501Y.V1,2021-02-19
20B,2020-08-24
20E (EU1),2020-09-18
20B,2020-09-02
20A,2020-07-08
20A,2020-04-24
20E (EU1),2021-01-15
20B,2020-05-27
20A,2020-03-19
20H/501Y.V2,2021-01-15
20A,2020-04-08
20A,2020-03-14
20B,2020-03-31
20C,2020-04-23
20A,2020-05-26
20E (EU1),2021-02-10
20A,2020-12-28
20I/501Y.V1,2021-02-12
20C,2020-11-23
20A,2020-04-25
20H/501Y.V2,2021-01-15
20A,2021-01-14
20A,2021-01-10
20A,2021-01-20
20A.EU2,2020-09-28
20E (EU1),2020-12-29
20B,2021-01-04
20B,2021-01-05
20A,2021-02-08
20B,2020-12-15
20A,2020-08-05
20B,2020-02-27
20A,2020-03-15
20I/501Y.V1,2021-02-23
20A.EU2,2020-09-10
20A,2020-10-19
20A,2020-03-17
19A,2020-01-22
20A,2021-01-07
20A,2020-12-10
20B,2020-03-19
20A,2020-08-22
20C,2020-04-20
20B,2020-11-27
20B,2020-11-20
20H/501Y.V2,2020-11-15
20A,2020-06-09
20B,2020-05-16
20E (EU1),2020-08-18
19B,2020-01-29
19B,2020-01-29
20B,2020-12-21
19A,2020-01-29
20A,2020-12-08
20I/501Y.V1,2021-02-27
20A,2020-07-29
20I/501Y.V1,2021-02-17
20B,2021-01-15
20A,2020-12-19
20B,2021-01-15
20B,2021-01-15
20A,2021-01-13
20A,2020-05-18
20B,2021-01-11
20A,2020-12-23
20B,2021-01-10
20E (EU1),2021-02-10
20B,2020-05-13
20I/501Y.V1,2021-02-25
20A,2020-11-11
20I/501Y.V1,2021-02-18
20B,2021-01-21
20A,2020-09-14
20A,2021-01-13
20A,2020-12-07
20A.EU2,2021-01-07
20A.EU2,2020-11-07
20I/501Y.V1,2021-01-28
20B,2020-06-18
20B,2021-02-24
20G,2021-02-25
20A,2021-01-07
20B,2020-07-13
20A,2021-01-08
20A,2020-12-30
20D,2021-02-09
20C,2020-06-18
20A,2021-01-01
20A,2021-01-02
20A,2021-01-05
20D,2020-07-15
20A,2021-01-02
20E (EU1),2021-01-26
20A.EU2,2020-11-12
20G,2021-01-20
20A,2021-02-03
20A.EU2,2020-12-15
20A,2020-05-24
20A,2020-12-23
20B,2020-07-28
20B,2020-07-28
20C,2021-02-12
20I/501Y.V1,2021-03-02
20A.EU2,2020-12-15
20B,2020-11-30
20A,2021-01-02
20A,2021-01-04
20A,2021-01-04
20B,2021-01-07
20E (EU1),2020-12-01
20I/501Y.V1,2021-02-03
20E (EU1),2020-12-23
20D,2020-10-19
20B,2020-07-24
20I/501Y.V1,2021-03-03
20A,2020-11-23
20I/501Y.V1,2021-03-03
20I/501Y.V1,2021-03-03
20D,2021-01-10
20C,2020-12-03
20A,2020-12-29
20D,2021-01-10
20E (EU1),2021-01-10
20B,2020-11-28
20B,2021-02-09
20B,2020-11-25
20D,2020-04-06
20B,2020-05-07
20B,2020-10-13
20A,2020-12-02
20B,2020-11-19
20C,2021-02-01
20B,2020-11-18
20A,2020-07-28
20D,2020-12-18
20D,2020-12-13
20D,2020-12-30
20B,2020-06-19
20D,2020-12-18
20C,2021-02-01
20I/501Y.V1,2021-02-08
20B,2020-11-03
20C,2020-11-25
20A,2020-11-30
20I/501Y.V1,2021-02-09
20C,2020-11-25
20B,2020-11-26
20A,2020-11-06
20I/501Y.V1,2021-03-03
20B,2020-11-25
20A,2020-11-09
20A,2020-11-04
20C,2020-11-24
20D,2020-07-20
20C,2020-11-20
20C,2020-11-18
20B,2020-11-20
20A,2020-12-23
20A,2020-04-01
20C,2021-02-15
20I/501Y.V1,2021-03-03
20E (EU1),2021-01-12
19A,2020-02-27
20I/501Y.V1,2021-03-02
20B,2021-03-02
20B,2020-03-23
20C,2020-04-11
20B,2020-04-24
20A.EU2,2020-11-26
20C,2021-02-02
20A,2021-01-05
20B,2021-02-02
20C,2021-02-15
20I/501Y.V1,2020-12-25
20A.EU2,2020-11-30
20A,2020-10-22
19A,2020-03-25
20B,2020-04-24
20B,2020-03-23
20B,2020-07-31
20B,2020-08-07
20B,2020-08-07
20B,2020-08-07
20B,2020-11-24
19A,2020-02-23
20C,2020-12-09
20A,2020-11-19
20B,2020-09-05
20A,2020-02-29
20B,2020-11-27
20B,2020-08-14
19A,2020-04-17
20B,2020-08-19
20E (EU1),2021-01-13
20I/501Y.V1,2021-03-03
20H/501Y.V2,2021-03-02
20I/501Y.V1,2021-03-03
20B,2020-11-20
20I/501Y.V1,2021-03-03
20C,2021-02-16
20A,2020-06-24
20C,2021-02-04
20I/501Y.V1,2021-03-02
20B,2020-11-23
20A,2020-12-30
20B,2020-07-10
20I/501Y.V1,2021-03-03
20B,2021-01-21
20I/501Y.V1,2021-03-02
20E (EU1),2020-11-28
20A,2020-12-20
20A,2021-01-23
20C,2021-03-02
20A.EU2,2021-02-02
20I/501Y.V1,2021-03-02
20I/501Y.V1,2021-03-02
20I/501Y.V1,2021-03-01
20B,2021-01-10
20B,2020-11-21
20B,2021-01-07
20E (EU1),2020-11-17
20E (EU1),2020-11-17
20E (EU1),2020-12-17
20I/501Y.V1,2021-01-25
20E (EU1),2021-02-03
20A,2020-12-14
20I/501Y.V1,2021-02-09
20I/501Y.V1,2021-03-05
20I/501Y.V1,2021-02-24
20A,2020-04-15
20I/501Y.V1,2021-03-02
20I/501Y.V1,2021-02-24
20A,2020-05-27
20I/501Y.V1,2021-02-16
20E (EU1),2020-09-06
20I/501Y.V1,2021-03-04
20E (EU1),2020-10-11
20A,2020-11-18
20A.EU2,2020-11-12
20A.EU2,2020-11-12
20A.EU2,2020-11-27
20E (EU1),2021-01-22
20E (EU1),2020-11-09
20B,2021-02-08
20B,2020-12-18
20I/501Y.V1,2021-03-03
20A,2021-01-18
20I/501Y.V1,2021-03-03
20B,2020-11-16
20A,2020-12-18
20A.EU2,2021-01-17
20A,2021-02-01
20D,2021-01-26
20D,2021-01-26
20D,2021-01-08
20D,2021-01-08
20A.EU2,2020-09-10
20B,2021-01-09
20A,2021-01-22
20A.EU2,2020-12-31
20E (EU1),2020-11-30
20D,2021-01-08
20B,2020-10-21
20E (EU1),2020-09-15
20B,2021-01-08
20A,2021-01-07
20I/501Y.V1,2021-03-03
20A,2020-03-06
20B,2021-02-22
20A,2021-01-15
20I/501Y.V1,2021-02-17
20A.EU2,2020-11-30
20A,2021-02-16
20A.EU2,2020-11-30
20B,2020-11-19
20B,2020-07-24
20B,2020-11-13
20B,2020-11-27
20A,2021-02-11
20B,2020-11-27
20I/501Y.V1,2021-03-04
20I/501Y.V1,2021-02-11
20A,2020-07-16
20B,2020-12-01
19A,2020-03-08
20A.EU2,2020-11-22
20C,2020-03-10
20B,2020-07-23
20E (EU1),2021-01-21
20B,2020-11-16
20B,2020-08-16
20A,2020-05-04
20B,2020-12-30
20I/501Y.V1,2020-12-30
20I/501Y.V1,2020-12-30
19A,2020-12-31
20A,2021-01-12
20E (EU1),2021-03-02
20A,2020-12-30
20B,2020-08-31
20B,2021-03-01
20A,2020-09-03
20A,2020-12-20
20A,2020-12-14
20E (EU1),2020-12-27
20A.EU2,2020-12-03
20A,2021-01-18
20A,2020-11-30
19A,2020-12-28
20B,2021-01-18
20A,2021-01-14
20A,2021-03-01
20B,2021-01-29
20A,2021-02-05
20A.EU2,2020-10-21
20B,2021-01-14
19A,2019-12-26
20E (EU1),2020-09-26
20C,2020-12-03
20B,2020-11-13
20E (EU1),2020-11-17
20B,2020-11-13
19A,2020-01-30
20I/501Y.V1,2021-01-26
20I/501Y.V1,2021-03-02
20E (EU1),2020-11-28
20A,2021-01-07
20A,2020-12-14
19A,2020-03-11
20A,2020-09-01
20B,2020-10-27
20C,2020-12-01
20I/501Y.V1,2021-03-02
20A,2021-01-06
20A,2021-02-08
20A,2020-11-22
20I/501Y.V1,2021-02-09
20I/501Y.V1,2021-02-08
20I/501Y.V1,2021-03-03
19A,2020-08-29
19A,2020-07-20
20A.EU2,2020-11-04
20C,2020-05-08
20B,2020-05-28
20A,2021-02-02
20B,2020-12-04
20A,2020-12-13
20I/501Y.V1,2021-02-23
20A,2020-05-17
20B,2020-11-21
20B,2020-10-09
20A.EU2,2020-12-04
19A,2020-02-27
19A,2020-04-09
19A,2020-02-26
19B,2021-01-02
20A,2021-02-02
20A,2021-03-01
19A,2020-02-29
20C,2020-05-11
20B,2021-01-23
20A.EU2,2020-12-03
20B,2020-08-13
20B,2020-04-09
20I/501Y.V1,2021-03-01
20A,2020-12-25
20B,2020-08-20
20B,2020-02-26
20A,2020-02-28
20A,2021-01-25
20A,2021-01-27
20A,2021-03-01
20B,2021-01-27
20A,2021-01-28
20I/501Y.V1,2021-02-03
20C,2020-12-04
20B,2021-01-28
20A,2021-01-26
20B,2020-12-02
20B,2020-12-19
20B,2020-07-02
20I/501Y.V1,2021-02-25
20B,2020-12-27
20B,2020-12-24
20A,2020-11-18
20B,2020-10-11
20A,2020-12-09
20B,2020-11-06
20D,2020-06-08
20I/501Y.V1,2021-03-02
20A,2020-11-28
20A,2020-03-10
20I/501Y.V1,2020-12-23
20A,2021-02-22
20A,2020-10-26
20C,2020-12-24
20B,2020-12-24
20E (EU1),2021-01-29
20A,2020-05-20
20D,2020-12-02
20B,2020-08-02
20B,2020-09-04
20A,2020-12-08
20C,2020-11-18
20A,2020-12-09
20A,2020-05-20
20E (EU1),2021-01-18
20A,2020-11-27
20E (EU1),2020-08-07
20I/501Y.V1,2021-02-02
19A,2020-12-10
20A.EU2,2020-11-30
20I/501Y.V1,2021-02-23
20A,2020-12-14
20A,2020-06-30
20B,2021-01-02
20A,2020-06-30
20A,2020-11-08
20B,2021-02-01
20A.EU2,2020-12-11
20B,2020-11-09
20C,2020-05-18
20I/501Y.V1,2020-12-20
20I/501Y.V1,2020-12-20
20E (EU1),2020-08-08
20I/501Y.V1,2021-02-26
20A,2020-12-28
20B,2020-08-12
20I/501Y.V1,2021-03-04
20I/501Y.V1,2021-02-04
20E (EU1),2021-02-17
20B,2020-05-28
20A,2020-08-10
20A,2020-06-10
20A,2020-12-08
20A,2020-08-02
20B,2020-04-02
20A,2020-06-14
20A,2020-03-25
20A,2020-03-25
20I/501Y.V1,2021-03-01
20E (EU1),2021-01-05
20A,2020-04-21
20I/501Y.V1,2020-12-21
20A,2020-03-25
20A,2020-07-23
20E (EU1),2021-03-02
20C,2020-06-29
20A,2020-09-01
20A,2020-12-14
20B,2021-02-11
20A,2020-12-10
20B,2021-02-07
20A,2021-03-01
20I/501Y.V1,2021-02-22
20I/501Y.V1,2021-01-25
20C,2020-12-14
20I/501Y.V1,2021-02-15
20A,2020-03-16
20A,2021-03-01
20I/501Y.V1,2021-01-20
20I/501Y.V1,2021-02-17
20A,2020-08-12
20E (EU1),2021-02-22
20C,2020-11-12
20I/501Y.V1,2020-12-30
20C,2020-11-11
20E (EU1),2021-02-10
20C,2020-11-12
20I/501Y.V1,2021-01-27
20I/501Y.V1,2021-01-14
20E (EU1),2020-12-28
20I/501Y.V1,2020-12-30
20A,2021-01-05
20I/501Y.V1,2021-01-20
20B,2020-10-23
20A,2020-11-23
20I/501Y.V1,2021-02-17
20A.EU2,2021-02-05
20A.EU2,2020-12-08
20E (EU1),2020-11-12
20D,2020-12-09
20A,2020-12-09
20I/501Y.V1,2021-02-03
20I/501Y.V1,2021-01-27
20C,2021-02-25
20I/501Y.V1,2021-02-05
20A,2020-12-22
20D,2020-11-25
20A.EU2,2020-11-27
20E (EU1),2021-02-05
20D,2020-11-01
19A,2020-01-24
20A,2020-06-15
20A,2020-03-24
20A,2021-02-04
20A,2021-01-02
20B,2020-07-16
20C,2020-11-12
20B,2020-04-02
20I/501Y.V1,2021-02-25
19B,2020-01-29
20A,2020-12-15
20A,2020-12-04
20A,2020-08-19
20E (EU1),2020-11-13
20A,2020-11-20
20A,2020-05-04
20C,2021-02-23
20B,2021-02-04
20A,2020-11-13
20A,2020-11-07
19A,2020-03-14
20A,2020-11-17
20A,2020-11-20
20B,2020-11-17
20A,2020-04-25
20E (EU1),2021-01-22
20A.EU2,2021-01-15
20B,2020-08-12
20B,2020-08-06
20C,2020-03-27
20B,2020-11-16
20B,2020-06-01
20I/501Y.V1,2021-01-04
20D,2020-10-07
20A,2020-12-03
19B,2020-12-05
19A,2020-02-02
20C,2020-12-05
19B,2020-12-05
20E (EU1),2020-12-13
20B,2020-05-06
20C,2020-11-02
20A,2020-12-23
20C,2020-11-03
20I/501Y.V1,2021-01-12
20A,2020-12-18
20A,2020-12-16
20A,2020-10-16
20I/501Y.V1,2020-12-17
20B,2021-01-27
20A,2021-02-05
20E (EU1),2020-12-14
19B,2020-01-25
20I/501Y.V1,2021-01-30
20A,2020-11-27
20I/501Y.V1,2021-01-28
19B,2020-11-29
20I/501Y.V1,2021-01-30
20A,2020-11-30
19B,2020-12-01
20I/501Y.V1,2021-02-20
19A,2020-03-12
20I/501Y.V1,2021-01-13
20E (EU1),2021-01-13
20B,2020-03-21
20B,2021-01-15
20B,2021-01-19
20A,2021-02-06
20A,2020-08-19
20A,2020-08-21
20B,2021-01-19
20C,2020-04-07
20B,2021-01-19
20B,2021-01-19
20A,2020-03-30
20A,2020-08-05
20I/501Y.V1,2021-01-12
20B,2021-02-23
20B,2021-01-19
20B,2021-01-19
20A.EU2,2020-11-23
20I/501Y.V1,2021-03-02
20A,2020-08-10
20A,2020-08-10
20A,2020-08-18
20E (EU1),2020-12-18
20A,2020-08-04
20C,2021-03-02
20A,2020-03-18
20B,2021-02-16
20A.EU2,2020-11-17
20C,2020-10-06
20B,2021-02-08
20A,2021-01-18
20A,2021-01-18
20C,2020-10-21
20B,2020-05-21
20A,2020-02-23
20I/501Y.V1,2021-03-02
20I/501Y.V1,2021-03-01
20E (EU1),2020-12-21
20B,2020-08-05
20A,2020-08-16
20A,2021-01-20
20A,2021-01-19
20C,2020-11-24
20B,2020-11-14
20B,2020-11-18
20A,2020-03-23
20A,2020-03-28
20B,2020-11-25
20B,2020-07-27
20B,2020-07-28
20C,2020-03-23
20A.EU2,2020-12-19
20A,2021-01-25
20A,2020-09-05
20E (EU1),2020-12-25
20C,2020-09-30
20B,2020-04-14
20E (EU1),2020-11-14
20A,2021-02-10
20A,2020-07-14
20A,2021-01-20
20B,2020-04-01
20B,2021-01-19
20A,2021-01-18
20B,2020-09-13
20B,2020-11-21
20C,2021-01-20
20B,2021-02-17
20B,2021-02-17
20A,2020-10-12
20A,2020-10-12
20B,2020-06-15
20B,2021-02-17
20B,2020-11-23
20B,2020-10-27
20I/501Y.V1,2021-02-01
20B,2021-02-16
20B,2021-01-27
20I/501Y.V1,2021-02-03
20I/501Y.V1,2021-02-03
20B,2020-11-04
20I/501Y.V1,2021-02-25
19B,2020-05-10
20I/501Y.V1,2021-02-26
19B,2020-05-08
20B,2020-08-25
20C,2021-01-20
20A,2021-01-05
20B,2021-01-25
20A,2020-11-19
20B,2020-08-12
20A,2020-08-12
20F,2020-08-17
20F,2020-07-16
20A,2021-01-09
20B,2020-10-17
20C,2021-01-06
20B,2020-08-19
19A,2020-01-29
20B,2020-12-28
20B,2020-11-28
20I/501Y.V1,2021-03-04
20A,2020-10-30
20C,2020-10-19
20B,2020-10-29
20B,2020-07-08
20B,2020-12-17
20C,2021-02-16
20B,2020-04-22
20A,2020-11-30
19B,2020-03-24
20B,2021-02-17
20B,2020-09-26
20B,2020-10-23
20B,2021-02-04
20B,2021-01-23
20A,2020-12-25
20A.EU2,2021-02-02
20C,2021-02-02
20D,2020-12-25
20A,2021-01-28
20D,2020-12-25
20C,2021-02-02
20C,2020-03-19
19A,2020-03-19
20C,2020-03-23
20B,2021-01-18
20A,2020-03-23
20E (EU1),2021-02-01
20C,2020-12-29
20I/501Y.V1,2021-02-16
20E (EU1),2021-02-01
20B,2021-01-04
20I/501Y.V1,2021-02-16
20I/501Y.V1,2021-02-12
20I/501Y.V1,2021-02-12
20C,2021-02-12
20C,2020-12-31
20G,2021-02-12
20C,2020-12-30
20C,2020-12-30
20C,2020-12-30
20C,2020-12-31
20G,2021-01-15
20B,2021-02-10
20I/501Y.V1,2021-01-17
20G,2021-01-15
20I/501Y.V1,2021-01-15
20A,2020-10-23
20A,2020-09-28
20A,2020-10-12
20C,2020-12-31
20I/501Y.V1,2021-02-28
20C,2020-12-31
20A,2020-10-09
20A,2021-02-03
20E (EU1),2021-02-02
20C,2021-01-03
20I/501Y.V1,2021-01-28
20H/501Y.V2,2021-01-28
20C,2021-01-01
20C,2020-12-31
20B,2021-01-28
20E (EU1),2021-01-28
20C,2020-12-31
20C,2021-01-01
20A,2021-01-22
20C,2021-01-01
20C,2020-12-30
20B,2021-01-14
20C,2021-01-03
20F,2020-07-03
20F,2020-07-03
20F,2020-07-03
20F,2020-07-03
