Nextstrain_clade,date
20C,2020-11-01
20A,2020-03-02
20A,2020-05-19
20A,2020-05-19
20B,2020-09-14
20B,2020-03-26
20B,2021-02-05
20A,2020-03-25
20G,2020-12-03
20B,2020-10-01
20E (EU1),2021-01-04
20A,2020-04-27
20B,2020-08-15
20I/501Y.V1,2021-02-08
20A,2020-12-09
20A,2020-12-22
20B,2020-12-21
20B,2021-01-06
20I/501Y.V1,2021-03-08
20I/501Y.V1,2021-03-08
20B,2020-12-22
20I/501Y.V1,2021-03-07
20I/501Y.V1,2021-03-08
20A,2020-03-27
20E (EU1),2021-02-01
20B,2020-04-01
20D,2021-01-16
19A,2020-04-06
20I/501Y.V1,2021-03-08
20D,2020-10-14
20B,2021-01-04
20A,2020-12-18
20I/501Y.V1,2021-03-07
20A,2020-03-25
20B,2020-03-31
20A,2020-12-23
20A,2020-09-17
20B,2020-12-15
20B,2020-11-26
20B,2020-11-26
20A,2020-12-07
20E (EU1),2020-10-27
20E (EU1),2020-11-07
20B,2020-12-21
20B,2020-12-12
20B,2020-12-27
20A,2021-01-04
20E (EU1),2020-12-30
20A,2020-12-19
20B,2020-07-22
20B,2020-11-23
20B,2020-11-24
20B,2020-11-23
20A.EU2,2020-11-12
20I/501Y.V1,2021-01-18
20A,2020-12-26
20A,2020-11-17
20A,2020-11-17
20E (EU1),2021-01-28
20E (EU1),2021-02-01
20A.EU2,2020-12-06
20B,2021-02-10
20B,2021-02-01
20A,2020-12-14
20A,2020-12-25
20B,2020-12-22
20I/501Y.V1,2020-12-15
20A,2020-06-27
20E (EU1),2020-11-25
20B,2020-10-04
20B,2020-12-06
20I/501Y.V1,2021-03-02
20B,2020-10-04
20B,2020-10-01
20I/501Y.V1,2021-03-02
20I/501Y.V1,2021-03-02
20E (EU1),2021-02-16
20B,2020-06-16
20I/501Y.V1,2021-03-02
20A,2020-12-22
20E (EU1),2020-11-24
20B,2020-04-06
20E (EU1),2020-11-25
20A.EU2,2020-11-25
20I/501Y.V1,2021-03-02
20B,2020-12-29
20A.EU2,2020-07-13
20I/501Y.V1,2021-03-02
20C,2020-03-25
20I/501Y.V1,2021-03-02
20A,2020-03-26
20A,2020-09-02
20A,2020-09-16
20B,2020-10-16
20A,2020-12-29
20A,2020-08-24
20B,2020-08-31
20B,2020-08-30
20B,2020-08-14
20B,2020-08-17
20B,2020-09-29
19A,2020-02-04
20A,2020-09-09
19A,2020-02-05
20I/501Y.V1,2021-02-08
20E (EU1),2021-02-08
19A,2020-03-03
20E (EU1),2021-02-01
20B,2020-09-30
20A,2020-04-03
20A.EU2,2020-08-19
20A,2020-08-15
20A,2020-12-28
20B,2021-02-17
20B,2020-12-29
20I/501Y.V1,2021-02-10
20A.EU2,2020-11-25
20I/501Y.V1,2021-03-01
20I/501Y.V1,2021-03-01
20A,2021-02-15
20A,2020-06-05
20B,2020-12-28
20I/501Y.V1,2021-03-01
20B,2020-11-14
20A,2020-12-29
20A,2020-12-28
20A.EU2,2020-12-28
20A,2020-04-09
20A,2020-12-28
20B,2020-03-22
20B,2021-01-04
20A,2020-12-28
20B,2020-11-03
20A,2020-12-03
20B,2020-12-22
20E (EU1),2021-01-04
20I/501Y.V1,2021-03-03
20B,2020-11-20
20I/501Y.V1,2021-03-03
20E (EU1),2020-12-14
20A,2021-01-03
20I/501Y.V1,2021-01-04
20I/501Y.V1,2021-02-12
20A,2020-12-28
20A,2020-04-14
20E (EU1),2021-01-14
20A,2020-11-12
20A,2020-12-28
20A,2020-12-28
20A,2020-11-04
20A,2020-12-28
20I/501Y.V1,2021-02-02
20B,2020-07-22
20B,2020-04-01
19A,2020-03-16
20B,2020-11-13
20B,2020-11-18
20B,2020-11-23
20B,2020-02-27
20I/501Y.V1,2021-02-02
20A.EU2,2020-11-13
20E (EU1),2021-03-03
20A.EU2,2020-11-13
20A.EU2,2020-11-19
20B,2020-04-09
20A,2020-12-28
20B,2020-08-07
20B,2020-08-20
20B,2020-11-14
20A,2020-04-16
20B,2021-01-30
20B,2021-02-19
20A,2021-03-02
20A,2020-02-29
20A,2021-01-21
20E (EU1),2021-01-18
20B,2021-01-30
20A,2020-05-08
20I/501Y.V1,2021-03-01
20A,2020-04-09
20I/501Y.V1,2021-02-12
20B,2020-09-16
20A,2020-05-11
20B,2020-05-14
20E (EU1),2020-11-11
20A,2020-05-11
20I/501Y.V1,2021-02-11
20I/501Y.V1,2021-02-20
20A,2020-07-06
20I/501Y.V1,2021-03-02
20B,2020-10-11
20A.EU2,2020-11-23
20B,2021-02-02
20A,2020-05-02
20A,2020-04-28
20A,2020-08-26
19A,2019-12-26
20I/501Y.V1,2021-01-24
20I/501Y.V1,2021-02-15
20C,2020-06-03
20B,2020-07-29
20A,2021-01-25
20I/501Y.V1,2021-01-28
20H/501Y.V2,2021-01-22
20A,2021-01-26
20I/501Y.V1,2021-01-30
20B,2021-01-04
20A,2021-01-27
20E (EU1),2021-01-26
20A,2021-01-26
20A,2021-01-26
20A,2020-11-14
20A,2021-01-21
20A,2020-12-31
20A,2021-01-21
20A,2021-01-22
20A,2021-01-21
20A,2020-12-29
20B,2021-01-20
20A,2020-12-19
20B,2020-10-02
20A,2020-05-14
20A,2020-05-09
20I/501Y.V1,2021-01-23
20A,2021-01-23
20A,2021-01-22
20A,2021-01-22
20A,2020-12-30
20I/501Y.V1,2021-01-08
20A,2021-01-24
20A,2021-01-24
20B,2021-01-02
20I/501Y.V1,2021-01-08
20I/501Y.V1,2021-01-23
20B,2020-10-23
20B,2021-01-05
20D,2020-07-20
20I/501Y.V1,2021-01-05
20B,2020-12-27
20B,2020-09-22
20A,2020-12-27
20B,2020-12-31
20A,2020-12-31
20B,2020-04-01
20I/501Y.V1,2021-01-06
20A,2020-02-26
20B,2020-04-04
20A,2020-03-17
20A,2021-02-24
20A,2021-02-11
20G,2020-12-03
20A.EU2,2020-11-02
20A,2020-12-03
20C,2020-12-23
20A.EU2,2020-12-16
20B,2020-08-17
20I/501Y.V1,2020-12-17
20B,2020-07-22
20E (EU1),2021-01-25
20E (EU1),2020-12-01
20C,2020-04-14
20A,2020-12-31
20I/501Y.V1,2020-12-23
20A,2020-12-31
20B,2020-09-10
20I/501Y.V1,2020-12-26
20B,2020-12-31
20A,2020-10-04
20G,2021-01-06
20A,2021-01-04
20B,2020-11-21
20A,2020-06-10
20C,2021-03-04
20E (EU1),2020-12-09
20E (EU1),2020-11-15
20E (EU1),2021-01-11
20I/501Y.V1,2021-02-25
20E (EU1),2020-12-01
20I/501Y.V1,2020-12-18
20A,2020-11-03
20B,2020-04-21
20A,2020-11-12
20A,2020-04-13
20A,2021-01-10
20B,2021-02-10
20A,2021-02-11
20I/501Y.V1,2021-02-23
20A,2020-06-10
20C,2020-05-05
20E (EU1),2020-12-15
20E (EU1),2020-12-28
20A,2021-01-01
20A,2020-04-28
20A,2020-11-01
20B,2020-12-26
20A,2020-07-25
20A,2021-01-13
20I/501Y.V1,2021-01-12
20I/501Y.V1,2021-01-12
20E (EU1),2020-11-29
20C,2020-06-20
20C,2020-06-05
20D,2020-08-20
20E (EU1),2021-01-14
20A,2020-05-30
19A,2020-06-15
20I/501Y.V1,2021-02-09
20A,2021-01-02
20B,2020-06-09
20I/501Y.V1,2021-02-09
20B,2020-12-06
20B,2020-11-30
20A,2020-05-17
20B,2021-01-01
20B,2020-12-28
20B,2021-01-02
20B,2020-05-14
20I/501Y.V1,2020-12-27
20E (EU1),2020-11-17
20B,2020-11-01
20B,2021-01-19
20B,2020-05-07
20B,2020-08-04
20I/501Y.V1,2021-02-04
20A,2020-03-21
20G,2021-01-21
20B,2021-01-19
20A,2021-01-18
20A,2021-01-29
20H/501Y.V2,2021-02-02
?,2020-12-28
